qid,did,q_x,q_y,d_x,d_y,ndcg_final,ndcg_dense,ndcg_delta,r@100
152,1940119,-2.3074,4.3201,8.4700,11.1038,1.0000,1.0000,0.0000,1.0000
531,30199617,-3.4807,4.4535,9.6038,12.5313,0.1489,0.1489,0.0000,0.0000
473,15770244,-3.6577,3.1797,9.6817,12.7600,0.1307,0.1307,0.0000,0.0000
659,35867054,-1.9544,3.1851,8.0385,11.7354,0.2000,0.1722,0.0278,1.0000
1095,37314908,-2.3946,2.1019,7.3029,11.9242,1.0000,0.1582,0.8418,1.0000
1038,1331978,-2.6596,3.6487,7.9604,13.0359,0.0000,0.0000,0.0000,0.0000
279,7764212,-2.0027,3.3709,7.9984,11.6379,0.0000,0.0000,0.0000,0.0000
890,26180482,-3.4025,3.6259,8.4534,13.2770,0.0000,0.0000,0.0000,0.0000
403,1891886,-2.8935,4.1485,7.3445,12.5825,0.0000,0.0000,0.0000,0.0000
813,2310134,-3.9477,3.6626,9.0666,12.6959,0.0000,0.0000,0.0000,0.0000
1011,6071715,-2.6112,3.7109,8.6130,11.4024,1.0000,0.3155,0.6845,1.0000
985,1397876,-2.4639,2.1527,7.0820,12.7706,0.3869,0.1966,0.1903,1.0000
898,3761238,-2.1603,4.1546,8.7457,11.1457,0.1044,0.1044,0.0000,0.0000
1099,9989811,-3.9373,2.9621,8.3330,12.7773,1.0000,0.1667,0.8333,1.0000
714,3434085,-3.0740,4.2648,8.1424,11.6275,0.0000,0.0000,0.0000,0.0000
681,29097142,-2.1367,2.1999,8.8296,12.2656,0.1064,0.1064,0.0000,0.0000
992,14513043,-3.1303,1.8703,6.7654,12.6049,0.0000,0.0000,0.0000,0.0000
265,6843857,-3.8776,2.3537,7.8703,13.7300,0.6309,1.0000,-0.3691,1.0000
832,16013696,-2.2192,3.3458,9.4851,12.2643,0.0000,0.0000,0.0000,0.0000
861,5979824,-3.3837,3.0265,8.6493,12.4986,0.0000,0.0000,0.0000,0.0000
919,36354703,-1.7987,3.8287,7.4204,11.5882,0.1324,0.1324,0.0000,0.0000
345,1659954,-2.8485,3.1244,8.3008,12.0904,0.0000,0.0000,0.0000,0.0000
579,142224,-2.2493,2.1738,6.7012,12.5360,0.4307,0.1781,0.2526,1.0000
252,21843425,-3.0348,4.7593,8.1171,12.4286,1.0000,0.2127,0.7873,1.0000
902,25306569,-3.0961,2.0097,7.4451,13.5144,0.0000,0.0000,0.0000,0.0000
153,5787604,-2.6715,1.9913,6.9288,12.7253,0.3333,0.1667,0.1667,1.0000
837,31908,-3.5269,2.0457,7.1879,12.4176,0.0000,0.0000,0.0000,0.0000
281,7335449,-3.3925,2.5716,8.2697,13.5377,0.1253,0.1253,0.0000,0.0000
1096,1961602,-2.6874,2.5059,9.5139,12.7908,0.3562,1.0000,-0.6438,1.0000
270,3635829,-1.9132,3.0560,9.0508,11.4946,0.3333,0.2153,0.1180,1.0000
625,145388,-3.2673,3.6085,7.6971,13.2707,0.0000,0.0000,0.0000,0.0000
517,24788378,-1.8810,3.6830,7.2921,12.1805,0.2242,0.1660,0.0582,1.0000
652,277667,-2.5533,3.5093,9.2987,12.2458,0.0000,0.0000,0.0000,0.0000
296,3954720,-3.8340,3.6580,9.3455,13.3430,0.1347,0.1347,0.0000,0.0000
766,20697583,-2.6658,1.7387,7.6174,12.9547,0.6309,0.1982,0.4327,1.0000
482,33082424,-3.1749,3.1095,9.4006,11.9617,0.1347,0.1347,0.0000,0.0000
622,8949514,-3.2678,2.0745,7.1456,13.4175,0.1415,0.1415,0.0000,0.0000
665,28715960,-3.7860,3.5048,9.7419,13.0452,0.1738,0.2702,-0.0965,1.0000
689,3213280,-3.1859,3.8194,8.0814,13.4463,0.3869,0.1626,0.2242,1.0000
934,37617532,-2.9370,4.8664,7.6892,12.1157,0.0000,0.0000,0.0000,0.0000
712,4863014,-3.4195,4.6314,8.1034,13.1369,0.0000,0.0000,0.0000,0.0000
626,7277067,-2.4101,4.0922,9.0305,13.4113,0.1405,0.1405,0.0000,0.0000
498,60231538,-3.0619,2.9142,9.8557,12.8240,1.0000,0.2560,0.7440,1.0000
644,24065239,-2.0336,2.6366,7.2092,12.8988,0.1464,0.1464,0.0000,0.0000
256,40753112,-3.5126,2.6174,7.2881,12.9735,0.1409,0.1409,0.0000,0.0000
273,2063551,-4.2240,3.1655,7.5428,13.1670,0.1055,0.1055,0.0000,0.0000
371,7305989,-3.2939,3.1358,9.2134,12.7206,0.1211,0.1211,0.0000,0.0000
159,31841081,-3.4530,2.7122,8.7210,13.1469,0.5000,0.1591,0.3409,1.0000
176,31462683,-1.8313,3.9210,7.5818,11.7434,1.0000,0.5000,0.5000,1.0000
888,14233418,-1.8860,4.5803,8.2092,11.0463,0.1362,0.1362,0.0000,0.0000
353,24335425,-3.1430,3.9819,8.1476,13.2804,1.0000,0.1892,0.8108,1.0000
1072,50520139,-2.6261,4.7304,8.3401,11.4419,1.0000,1.0000,0.0000,1.0000
471,4370892,-3.8729,3.7760,9.4486,13.3729,0.1892,0.2153,-0.0261,1.0000
693,4453753,-3.6712,2.4208,8.4387,13.6518,0.6309,0.3333,0.2976,1.0000
993,2162640,-3.5813,3.5595,9.4917,12.5940,1.0000,0.3010,0.6990,1.0000
483,5148614,-2.1749,4.5861,8.7310,11.1603,0.1821,0.2789,-0.0969,1.0000
901,48669515,-3.8437,4.0864,9.6589,13.1354,0.3155,0.3869,-0.0714,1.0000
391,92539,-2.4180,4.6400,8.2444,13.1128,0.1021,0.1021,0.0000,0.0000
627,3196327,-3.0886,4.6458,8.7353,13.3179,0.0000,0.0000,0.0000,0.0000
586,16187297,-2.5972,3.0425,8.9992,12.3539,0.0000,0.0000,0.0000,0.0000
895,37650220,-3.3565,2.4746,9.1978,11.8910,0.0000,0.0000,0.0000,0.0000
893,36183226,-2.1124,3.5041,7.8120,12.5478,0.0000,0.0000,0.0000,0.0000
633,11188650,-1.8893,3.5705,7.8199,11.8160,1.0000,1.0000,0.0000,1.0000
594,681260,-2.4341,1.9082,6.9866,12.4481,0.2560,0.6309,-0.3750,1.0000
168,58324133,-1.9482,4.6187,8.6499,12.0379,0.0000,0.0000,0.0000,0.0000
290,29783609,-1.8033,4.4760,7.9959,11.4101,0.1274,0.1274,0.0000,0.0000
649,357715,-2.0044,2.0718,7.2193,11.9218,0.6309,0.6309,0.0000,1.0000
240,11338198,-3.0379,1.8786,7.5736,12.3370,0.0000,0.0000,0.0000,0.0000
512,37696558,-2.4567,2.7990,7.8323,12.3244,0.1326,0.1326,0.0000,0.0000
786,23943222,-3.2318,3.3828,9.7069,12.2781,0.6309,0.5000,0.1309,1.0000
770,2513971,-3.5319,3.0507,8.6843,13.5301,0.1282,0.1282,0.0000,0.0000
959,534751,-3.0349,2.5117,6.9484,13.2496,1.0000,1.0000,0.0000,1.0000
513,4705518,-4.1328,3.3532,7.5083,13.1073,0.2789,0.5000,-0.2211,1.0000
423,54789415,-3.7447,3.2955,7.0285,13.0905,0.1164,0.1164,0.0000,0.0000
777,40139437,-1.9808,3.4352,7.5565,11.4419,0.0000,0.0000,0.0000,0.0000
905,4055736,-2.7699,4.3565,9.1520,12.2506,0.0000,0.0000,0.0000,0.0000
1090,7292022,-3.6842,3.1634,9.1936,13.3873,0.1082,0.1082,0.0000,0.0000
641,2932845,-3.6307,4.3430,9.2763,12.9697,0.1303,0.1303,0.0000,0.0000
169,9482929,-2.4601,2.7354,8.2392,12.6407,1.0000,1.0000,0.0000,1.0000
449,576587,-4.3248,3.5894,8.5233,12.5851,0.0000,0.0000,0.0000,0.0000
913,697868,-3.9066,2.3203,8.1514,13.9086,0.1118,0.1118,0.0000,0.0000
773,53838229,-4.0705,2.5249,8.8699,11.5931,0.0000,0.0000,0.0000,0.0000
